symbol,name,base,htf,entry_thr,exit_mode,exit_thr,htf_m_min,sl_atr,tp_atr,trail_atr,be_at_r,sides,session,n,ret,pf,wr,dd,sharpe,avg_bars,final,score
US30,1h+1d_e15_hard_hm25_s2.0_t4.0_both,1h,1d,15.0,hard,0.0,25.0,2.0,4.0,0.0,0.0,both,all,445,-24.732911307396066,0.89931603432401,31.46067415730337,-38.45247752970009,-0.34122702283102213,16.391011235955055,75267.08869260394,-19.990966001920356
US30,1h+1d_e15_hard_hm25_s2.0_t4.0_long,1h,1d,15.0,hard,0.0,25.0,2.0,4.0,0.0,0.0,long,all,326,-10.595162485781373,0.9465835699515549,32.515337423312886,-27.384285112535377,-0.12766508887407516,14.015337423312884,89404.83751421863,-18.692216612364895
US30,1h+1d_e15_neg_hm0_s1.5_t2.5_both,1h,1d,15.0,neg,10.0,0.0,1.5,2.5,0.0,0.0,both,all,1441,-0.32788964897025874,0.9994456128379239,45.315752949340734,-30.30454491968054,0.05189461554594232,2.9528105482303957,99672.11035102974,-17.84884142733231
US30,1h+1d_e15_neg_hm0_s1.5_t2.5_long,1h,1d,15.0,neg,10.0,0.0,1.5,2.5,0.0,0.0,long,all,1028,-1.4348103459191242,0.9966743588404592,44.8443579766537,-23.80165118652976,0.02330922418108028,2.2441634241245136,98565.18965408088,-17.682808727925188
US30,1h+1d_e15_neg_hm0_s1.5_t3.5_both,1h,1d,15.0,neg,10.0,0.0,1.5,3.5,0.0,0.0,both,all,1419,27.22651815685073,1.0444864444440443,44.256518675123324,-31.47269734070347,0.312726477279602,3.147286821705426,127226.51815685074,-16.289541340324597
US30,1h+1d_e15_neg_hm0_s1.5_t3.5_long,1h,1d,15.0,neg,10.0,0.0,1.5,3.5,0.0,0.0,long,all,1008,22.043903435797695,1.04895699933975,43.551587301587304,-24.099819858556238,0.28542836477057426,2.451388888888889,122043.90343579769,-16.231701611405107
US30,1h+1d_e15_neg_hm0_s2.0_t4.0_both,1h,1d,15.0,neg,10.0,0.0,2.0,4.0,0.0,0.0,both,all,1383,8.218396000085226,1.017658562359896,46.420824295010846,-26.477265936995398,0.16877349559602356,3.537237888647867,108218.39600008522,-17.13304814818263
US30,1h+1d_e15_neg_hm0_s2.0_t4.0_long,1h,1d,15.0,neg,10.0,0.0,2.0,4.0,0.0,0.0,long,all,974,6.982802551149492,1.0204719067369352,45.9958932238193,-20.708569180216717,0.1577578468211795,2.853182751540041,106982.80255114949,-16.96121412808858
US30,1h+1d_e15_neg_hm12_s1.5_t2.5_both,1h,1d,15.0,neg,10.0,12.0,1.5,2.5,0.0,0.0,both,all,1068,-22.471194299067864,0.9430778151424499,44.47565543071161,-28.703500663402338,-0.29691071578849737,2.9166666666666665,77528.80570093213,-19.33465933432543
US30,1h+1d_e15_neg_hm12_s1.5_t2.5_long,1h,1d,15.0,neg,10.0,12.0,1.5,2.5,0.0,0.0,long,all,793,-12.45591368540573,0.9604536821720637,44.388398486759144,-19.25161448576511,-0.16943397270516786,2.262295081967213,87544.08631459427,-18.321317880474425
US30,1h+1d_e15_neg_hm12_s1.5_t3.5_both,1h,1d,15.0,neg,10.0,12.0,1.5,3.5,0.0,0.0,both,all,1056,-6.738670123167312,0.9833609397479438,43.46590909090909,-27.61023531306047,-0.04284475305263599,3.078598484848485,93261.3298768327,-18.179820997658204
