side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2021-04-06 10:25:00,2021-04-06 10:35:00,33459.2,33503.75357142857,tp,555.8301048360898,2,A_5m_30m_1h,long
1,2021-04-06 12:35:00,2021-04-06 15:50:00,33488.7,33455.485714285714,sl,-339.05636395003296,39,A_5m_30m_1h,long
1,2021-04-06 18:15:00,2021-04-06 18:25:00,33507.2,33470.610714285714,sl,-335.66580031053263,2,A_5m_30m_1h,long
1,2021-04-06 18:30:00,2021-04-06 20:25:00,33484.7,33450.03928571428,sl,-332.30914230742735,22,A_5m_30m_1h,long
1,2021-04-07 02:25:00,2021-04-07 02:50:00,33456.2,33473.34285714285,tp,548.3100848070223,5,A_5m_30m_1h,long
1,2021-04-07 03:45:00,2021-04-07 04:30:00,33480.2,33463.646428571425,sl,-334.46915173242326,9,A_5m_30m_1h,long
1,2021-04-07 07:45:00,2021-04-07 07:55:00,33466.2,33458.485714285714,sl,-331.124460215099,2,A_5m_30m_1h,long
1,2021-04-07 10:10:00,2021-04-07 12:30:00,33445.2,33428.59285714285,sl,-327.81321561294806,28,A_5m_30m_1h,long
1,2021-04-07 14:05:00,2021-04-07 14:05:00,33446.7,33431.860714285714,sl,-324.5350834568186,0,A_5m_30m_1h,long
1,2021-04-07 14:35:00,2021-04-07 14:50:00,33440.2,33425.41428571428,sl,-321.28973262225037,3,A_5m_30m_1h,long
1,2021-04-07 17:25:00,2021-04-07 18:20:00,33455.7,33415.30714285714,sl,-318.07683529602787,11,A_5m_30m_1h,long
-1,2021-04-07 19:30:00,2021-04-07 19:35:00,33344.8,33383.05,sl,-314.8960669430676,1,A_5m_30m_1h,short
-1,2021-04-07 20:20:00,2021-04-07 20:25:00,33403.3,33409.7,flip,-57.29751942993497,1,A_5m_30m_1h,short
1,2021-04-07 20:30:00,2021-04-07 21:15:00,33409.2,33421.8,flip,118.04541230629174,9,A_5m_30m_1h,long
-1,2021-04-07 21:20:00,2021-04-07 22:25:00,33421.8,33379.74642857143,tp,520.5909753373041,13,A_5m_30m_1h,short
1,2021-04-08 01:35:00,2021-04-08 01:50:00,33451.7,33440.021428571425,sl,-317.5604949557735,3,A_5m_30m_1h,long
1,2021-04-08 03:50:00,2021-04-08 04:05:00,33463.7,33445.96785714285,sl,-314.38489000621576,3,A_5m_30m_1h,long
1,2021-04-08 04:20:00,2021-04-08 04:30:00,33453.7,33479.59285714285,tp,518.7350685101103,2,A_5m_30m_1h,long
