side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2023-01-13 08:30:00,2023-01-13 10:30:00,1.08398,1.0864085714285714,tp,1112.1122063718049,4,C_30m_4h_1d,long
1,2023-01-16 02:30:00,2023-01-16 03:30:00,1.0832,1.085367857142857,tp,1130.6474098113783,2,C_30m_4h_1d,long
1,2023-01-17 05:30:00,2023-01-17 12:00:00,1.0823,1.0810678571428571,sl,-689.6949199848946,13,C_30m_4h_1d,long
1,2023-01-17 13:00:00,2023-01-17 14:30:00,1.08223,1.0852121428571428,tp,1137.9966179751327,3,C_30m_4h_1d,long
1,2023-01-18 03:30:00,2023-01-18 04:30:00,1.07879,1.0776521428571428,sl,-694.1779369647969,2,C_30m_4h_1d,long
1,2023-01-18 08:00:00,2023-01-18 09:00:00,1.0779999999999998,1.0804375,tp,1145.3935959918454,2,C_30m_4h_1d,long
1,2023-01-18 16:00:00,2023-01-18 17:30:00,1.0858999999999999,1.0827221428571427,sl,-698.6900935550674,3,C_30m_4h_1d,long
1,2023-01-19 19:00:00,2023-01-20 10:00:00,1.0809499999999999,1.0852857142857142,tp,1152.8386543658416,30,C_30m_4h_1d,long
1,2023-01-20 17:00:00,2023-01-23 00:00:00,1.08222,1.0859396428571428,tp,1172.0526319386252,14,C_30m_4h_1d,long
1,2023-01-23 10:00:00,2023-01-23 10:00:00,1.09148,1.0895782142857142,sl,-714.9521054825615,0,C_30m_4h_1d,long
1,2023-01-23 11:00:00,2023-01-23 13:30:00,1.09005,1.0881182142857142,sl,-707.8025844277358,5,C_30m_4h_1d,long
1,2023-01-24 07:30:00,2023-01-24 09:30:00,1.08802,1.0892860714285715,tp,1167.8742643059009,4,C_30m_4h_1d,long
1,2023-01-24 14:30:00,2023-01-24 15:00:00,1.08747,1.0855735714285715,sl,-712.4033012265176,1,C_30m_4h_1d,long
1,2023-01-25 03:00:00,2023-01-25 08:00:00,1.08877,1.0905271428571428,tp,1175.465447023754,10,C_30m_4h_1d,long
1,2023-01-25 15:00:00,2023-01-25 17:00:00,1.08745,1.0909767857142858,tp,1195.0565378074582,4,C_30m_4h_1d,long
1,2023-01-26 01:30:00,2023-01-26 03:00:00,1.0921399999999999,1.0908082142857143,sl,-728.9844880625645,3,C_30m_4h_1d,long
1,2023-01-26 06:30:00,2023-01-26 11:00:00,1.0916,1.0905596428571427,sl,-721.6946431819389,9,C_30m_4h_1d,long
1,2023-01-26 13:00:00,2023-01-26 14:00:00,1.09074,1.0893342857142858,sl,-714.4776967501195,2,C_30m_4h_1d,long
1,2023-01-27 18:30:00,2023-01-30 11:30:00,1.08575,1.0896678571428573,tp,1178.888199637675,34,C_30m_4h_1d,long
1,2023-01-31 23:00:00,2023-02-01 04:00:00,1.0872899999999999,1.0854289285714285,sl,-719.1218017789951,10,C_30m_4h_1d,long
1,2023-02-01 05:30:00,2023-02-01 07:30:00,1.08602,1.0874432142857144,tp,1186.5509729354035,4,C_30m_4h_1d,long
1,2023-02-01 15:30:00,2023-02-01 21:30:00,1.0901399999999999,1.0928667857142855,tp,1206.3268224841997,12,C_30m_4h_1d,long
1,2023-02-01 22:00:00,2023-02-02 01:00:00,1.09787,1.1028985714285715,tp,1226.4322695257229,6,C_30m_4h_1d,long
1,2023-02-02 07:30:00,2023-02-02 08:30:00,1.1024699999999998,1.1009142857142855,sl,-748.1236844106585,2,C_30m_4h_1d,long
1,2023-02-02 13:30:00,2023-02-02 15:00:00,1.09964,1.097702857142857,sl,-740.6424475665518,3,C_30m_4h_1d,long
1,2023-02-03 06:00:00,2023-02-03 09:30:00,1.08945,1.0886078571428572,sl,-733.2360230908863,7,C_30m_4h_1d,long
-1,2023-02-06 02:30:00,2023-02-06 12:30:00,1.07856,1.0760725,tp,1209.8394380998545,20,C_30m_4h_1d,short
-1,2023-02-06 16:00:00,2023-02-06 17:30:00,1.07575,1.0723321428571428,tp,1230.0034287349868,3,C_30m_4h_1d,short
-1,2023-02-07 01:00:00,2023-02-07 03:30:00,1.07253,1.0739239285714286,sl,-750.3020915283257,5,C_30m_4h_1d,short
