side,horizon_5m,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,8,909,49.28492849284928,-0.005697917763430145,0.0,0.05863050559238546,0.06495907709565733,46.864686468646866,53.135313531353134,EURUSD,abc_plus_dvmr_mv,3,7
short,8,42,64.28571428571429,0.012886566733588043,0.010218913409874186,0.055701918376215576,0.034692512244501685,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,8,951,49.94742376445846,-0.004877151886590223,0.0,0.05850116735570919,0.06362238337983342,47.3186119873817,52.6813880126183,EURUSD,abc_plus_dvmr_mv,3,7
long,10,909,48.84488448844885,-0.005763880860734016,-0.0009072516625446152,0.06547181421344413,0.07197893352625676,46.864686468646866,53.135313531353134,EURUSD,abc_plus_dvmr_mv,3,7
short,10,42,57.14285714285714,0.012127634032794123,0.006380163306275662,0.0622087773451973,0.04110584056325171,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,10,951,49.21135646687697,-0.004973719319694919,0.0,0.06532770532967296,0.07061545307994108,47.3186119873817,52.6813880126183,EURUSD,abc_plus_dvmr_mv,3,7
long,15,909,49.61496149614962,-0.005926400702654393,0.0,0.0818941381377878,0.0889935967193091,46.864686468646866,53.135313531353134,EURUSD,abc_plus_dvmr_mv,3,7
short,15,42,57.14285714285714,0.018951044243858205,0.01299881445866247,0.0774593572705662,0.05107972094708072,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,15,951,49.94742376445846,-0.004827712282303678,0.0,0.08169828030768969,0.08731916687447883,47.3186119873817,52.6813880126183,EURUSD,abc_plus_dvmr_mv,3,7
long,20,909,50.05500550055005,-0.005715013990959389,0.0008419847264025791,0.09548479581696032,0.10409943086649735,46.864686468646866,53.135313531353134,EURUSD,abc_plus_dvmr_mv,3,7
short,20,42,59.523809523809526,0.005402968171055166,0.016432270971964185,0.08329414590598863,0.05789717949778074,57.142857142857146,42.857142857142854,EURUSD,abc_plus_dvmr_mv,3,7
any,20,951,50.473186119873816,-0.005223999005886189,0.0009171282879109205,0.09494640749281646,0.10205895288806822,47.3186119873817,52.6813880126183,EURUSD,abc_plus_dvmr_mv,3,7
long,1,106,45.28301886792453,-0.0017444154077889682,-0.0009306719736444627,0.023036376221904135,0.023922810188783367,45.283018867924525,52.83018867924528,EURUSD,abc_plus_dvmr_mv,4,7
any,1,106,45.28301886792453,-0.0017444154077889682,-0.0009306719736444627,0.023036376221904135,0.023922810188783367,45.283018867924525,52.83018867924528,EURUSD,abc_plus_dvmr_mv,4,7
long,2,106,38.67924528301887,-0.0053677657562074595,-0.0060848428091049185,0.029935872719622638,0.034870028239379305,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,2,106,38.67924528301887,-0.0053677657562074595,-0.0060848428091049185,0.029935872719622638,0.034870028239379305,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,3,106,48.113207547169814,-0.004122971654729762,-0.0017428006935507321,0.03449120589941317,0.04034374994953607,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,3,106,48.113207547169814,-0.004122971654729762,-0.0017428006935507321,0.03449120589941317,0.04034374994953607,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,5,106,47.16981132075472,-0.00011318006803968628,-0.0013901405168157068,0.04489929334530063,0.051626629785500866,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,5,106,47.16981132075472,-0.00011318006803968628,-0.0013901405168157068,0.04489929334530063,0.051626629785500866,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,8,106,52.83018867924528,0.003159875531812755,0.010127131243979254,0.056710545014482236,0.06205526171637009,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,8,106,52.83018867924528,0.003159875531812755,0.010127131243979254,0.056710545014482236,0.06205526171637009,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,10,106,52.83018867924528,0.0013160411000400385,0.004892362136190432,0.0628432122884141,0.06845473307379527,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,10,106,52.83018867924528,0.0013160411000400385,0.004892362136190432,0.0628432122884141,0.06845473307379527,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,15,106,50.943396226415096,0.005451159441184856,0.0036299135420973048,0.07726758025727234,0.08035923237687416,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,15,106,50.943396226415096,0.005451159441184856,0.0036299135420973048,0.07726758025727234,0.08035923237687416,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,20,106,54.71698113207547,0.008084279698685392,0.01871373981797713,0.09235174264695749,0.09002864104214559,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
any,20,106,54.71698113207547,0.008084279698685392,0.01871373981797713,0.09235174264695749,0.09002864104214559,46.22641509433962,53.77358490566038,EURUSD,abc_plus_dvmr_mv,4,7
long,1,2716,47.45949926362297,-1.932043083820333e-05,-0.0008491854968618066,0.019711558795433827,0.019645817873310524,47.45949926362297,50.36818851251841,EURUSD,abc_plus_dvmr_mv_longOnly,2,7
