side,horizon_m1,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
any,5,2965,47.45362563237774,-0.00019613966772475313,-0.0008279310830220737,0.01977129482018812,0.019880483989760216,49.915682967959526,50.05059021922428,EURUSD,abc_plus_dvmr_mv,2,7
long,10,1970,47.56345177664974,-0.0002942765193994591,-0.0008817414522612826,0.027948804515967957,0.028395893981167288,49.34010152284264,50.65989847715736,EURUSD,abc_plus_dvmr_mv,2,7
short,10,995,48.94472361809045,0.0009741489516622609,0.0,0.026886645985865095,0.026908462864319492,51.15577889447236,48.84422110552764,EURUSD,abc_plus_dvmr_mv,2,7
any,10,2965,48.026981450252954,0.00013138396751670025,-0.000849834282320516,0.027592363457805275,0.027896739188161032,49.94940978077572,50.05059021922428,EURUSD,abc_plus_dvmr_mv,2,7
long,20,1970,48.02030456852792,0.00037566398389993265,-0.0008912340461109953,0.04013204935671954,0.04037693000307922,49.34010152284264,50.65989847715736,EURUSD,abc_plus_dvmr_mv,2,7
short,20,995,48.54271356783919,0.00039002572360420624,0.0,0.03916537642308758,0.03670676348251181,51.15577889447236,48.84422110552764,EURUSD,abc_plus_dvmr_mv,2,7
any,20,2965,48.195615514333895,0.0003804835221818055,-0.0008719460091088286,0.03980765152570308,0.03914528896160718,49.94940978077572,50.05059021922428,EURUSD,abc_plus_dvmr_mv,2,7
long,30,1970,48.223350253807105,-0.0007189975153098061,-0.0017659035481312254,0.04835180149842571,0.049080531294812525,49.34010152284264,50.65989847715736,EURUSD,abc_plus_dvmr_mv,2,7
short,30,995,47.23618090452261,-0.0014022084220096248,-0.002579092159557642,0.04708957012677701,0.04482640308317887,51.15577889447236,48.84422110552764,EURUSD,abc_plus_dvmr_mv,2,7
any,30,2965,47.89207419898819,-0.0009482706526340286,-0.001822971260870015,0.047928219638462645,0.04765292334520865,49.94940978077572,50.05059021922428,EURUSD,abc_plus_dvmr_mv,2,7
long,60,1970,49.54314720812183,0.001210327484127556,0.0,0.06859739748549915,0.06881826608902147,49.34010152284264,50.65989847715736,EURUSD,abc_plus_dvmr_mv,2,7
short,60,995,47.93969849246231,-0.001960246623428537,-0.002755757236156866,0.06608388294904255,0.06433738929305907,51.15577889447236,48.84422110552764,EURUSD,abc_plus_dvmr_mv,2,7
any,60,2965,49.00505902192243,0.00014634055764583146,-0.0008522751485145281,0.06775390778439484,0.06731456544417067,49.94940978077572,50.05059021922428,EURUSD,abc_plus_dvmr_mv,2,7
long,5,696,46.695402298850574,0.0002956679255705153,-0.0008601843662998715,0.022254570518466018,0.021684718229582543,49.42528735632184,50.57471264367816,EURUSD,abc_plus_dvmr_mv,3,7
short,5,13,69.23076923076923,0.01827970849694173,0.008546789398561488,0.03500060322330685,0.005219126356877563,69.23076923076923,30.76923076923077,EURUSD,abc_plus_dvmr_mv,3,7
any,5,709,47.10860366713681,0.0006254176116464331,-0.0008419280151602199,0.022488277747186654,0.021382810339109812,49.78843441466855,50.21156558533145,EURUSD,abc_plus_dvmr_mv,3,7
long,10,696,48.99425287356322,-0.0012151540845098466,0.0,0.031584498189035214,0.03218561524418011,49.42528735632184,50.57471264367816,EURUSD,abc_plus_dvmr_mv,3,7
short,10,13,84.61538461538461,0.029697088326027785,0.027703948678443554,0.0470391319521452,0.006281384919145557,69.23076923076923,30.76923076923077,EURUSD,abc_plus_dvmr_mv,3,7
any,10,709,49.647390691114246,-0.0006483569740204397,0.0,0.031867869471010425,0.03171064346106945,49.78843441466855,50.21156558533145,EURUSD,abc_plus_dvmr_mv,3,7
long,20,696,50.0,-0.0018604205335551905,0.00042096400757076266,0.04328897337411289,0.04443885495521274,49.42528735632184,50.57471264367816,EURUSD,abc_plus_dvmr_mv,3,7
short,20,13,84.61538461538461,0.03466960310044057,0.0248387621731263,0.06044129393294894,0.008339328417049544,69.23076923076923,30.76923076923077,EURUSD,abc_plus_dvmr_mv,3,7
any,20,709,50.634696755994355,-0.001190617561422687,0.0009135673892841713,0.04360347290481087,0.04377694544181906,49.78843441466855,50.21156558533145,EURUSD,abc_plus_dvmr_mv,3,7
long,30,696,51.293103448275865,-0.001020976827125213,0.0009444649650033158,0.053551515294950766,0.054152928630259604,49.42528735632184,50.57471264367816,EURUSD,abc_plus_dvmr_mv,3,7
short,30,13,92.3076923076923,0.03755333814397014,0.029435445470837866,0.07093804276368419,0.00893348369866598,69.23076923076923,30.76923076923077,EURUSD,abc_plus_dvmr_mv,3,7
any,30,709,52.04513399153738,-0.00031369037490484706,0.0025408655882082232,0.05387030916955378,0.05332379917453222,49.78843441466855,50.21156558533145,EURUSD,abc_plus_dvmr_mv,3,7
long,60,696,49.42528735632184,-0.005218010062600774,-0.0008966574932311621,0.07297434152700205,0.07680204164243909,49.42528735632184,50.57471264367816,EURUSD,abc_plus_dvmr_mv,3,7
short,60,13,84.61538461538461,0.044733752125110215,0.057386105710341355,0.08605953004147157,0.010497282135263112,69.23076923076923,30.76923076923077,EURUSD,abc_plus_dvmr_mv,3,7
